question_text,subject,topic,difficulty,marks,bloom_level,answer,department
Compare and contrast the implementation of Queues in different scenarios.,Data Structures,Queues,Easy,4,Remember,Sample answer for Queues in Data Structures.,CSE
Describe the historical evolution of Trees.,Data Structures,Trees,Easy,3,Remember,Sample answer for Trees in Data Structures.,CSE
Derive the mathematical formulation for Stacks.,Data Structures,Stacks,Medium,10,Apply,Sample answer for Stacks in Data Structures.,CSE
Explain the fundamental principles of Hash Tables in the context of Data Structures.,Data Structures,Hash Tables,Easy,2,Understand,Sample answer for Hash Tables in Data Structures.,CSE
Discuss the advantages and disadvantages of Arrays in Data Structures.,Data Structures,Arrays,Easy,3,Remember,Sample answer for Arrays in Data Structures.,CSE
Discuss the advantages and disadvantages of Queues in Data Structures.,Data Structures,Queues,Easy,4,Understand,Sample answer for Queues in Data Structures.,CSE
Explain the fundamental principles of Stacks in the context of Data Structures.,Data Structures,Stacks,Easy,5,Remember,Sample answer for Stacks in Data Structures.,CSE
Compare and contrast the implementation of Queues in different scenarios.,Data Structures,Queues,Easy,4,Understand,Sample answer for Queues in Data Structures.,CSE
How does Hash Tables integrate with other components in Data Structures?,Data Structures,Hash Tables,Medium,6,Apply,Sample answer for Hash Tables in Data Structures.,CSE
Evaluate the performance characteristics of Linked Lists.,Data Structures,Linked Lists,Medium,5,Apply,Sample answer for Linked Lists in Data Structures.,CSE
Derive the mathematical formulation for Linked Lists.,Data Structures,Linked Lists,Easy,4,Understand,Sample answer for Linked Lists in Data Structures.,CSE
Calculate the efficiency of a system designed using Graphs.,Data Structures,Graphs,Medium,5,Analyze,Sample answer for Graphs in Data Structures.,CSE
Derive the mathematical formulation for Stacks.,Data Structures,Stacks,Easy,3,Understand,Sample answer for Stacks in Data Structures.,CSE
Explain the fundamental principles of Linked Lists in the context of Data Structures.,Data Structures,Linked Lists,Medium,6,Apply,Sample answer for Linked Lists in Data Structures.,CSE
Describe the historical evolution of Graphs.,Data Structures,Graphs,Medium,6,Analyze,Sample answer for Graphs in Data Structures.,CSE
Calculate the efficiency of a system designed using Queues.,Data Structures,Queues,Hard,10,Create,Sample answer for Queues in Data Structures.,CSE
Analyze the impact of Queues on modern Data Structures applications.,Data Structures,Queues,Easy,4,Remember,Sample answer for Queues in Data Structures.,CSE
Differentiate between the various approaches to Stacks.,Data Structures,Stacks,Medium,6,Apply,Sample answer for Stacks in Data Structures.,CSE
Calculate the efficiency of a system designed using Graphs.,Data Structures,Graphs,Easy,4,Understand,Sample answer for Graphs in Data Structures.,CSE
Differentiate between the various approaches to Linked Lists.,Data Structures,Linked Lists,Easy,5,Remember,Sample answer for Linked Lists in Data Structures.,CSE
Compare and contrast the implementation of Arrays in different scenarios.,Data Structures,Arrays,Easy,4,Understand,Sample answer for Arrays in Data Structures.,CSE
Compare and contrast the implementation of Trees in different scenarios.,Data Structures,Trees,Medium,8,Apply,Sample answer for Trees in Data Structures.,CSE
Evaluate the performance characteristics of Heaps.,Data Structures,Heaps,Medium,6,Apply,Sample answer for Heaps in Data Structures.,CSE
Explain the fundamental principles of Linked Lists in the context of Data Structures.,Data Structures,Linked Lists,Hard,10,Evaluate,Sample answer for Linked Lists in Data Structures.,CSE
Derive the mathematical formulation for Stacks.,Data Structures,Stacks,Hard,10,Evaluate,Sample answer for Stacks in Data Structures.,CSE
Derive the mathematical formulation for Arrays.,Data Structures,Arrays,Easy,3,Understand,Sample answer for Arrays in Data Structures.,CSE
Differentiate between the various approaches to Graphs.,Data Structures,Graphs,Hard,20,Create,Sample answer for Graphs in Data Structures.,CSE
Explain the fundamental principles of Arrays in the context of Data Structures.,Data Structures,Arrays,Easy,5,Remember,Sample answer for Arrays in Data Structures.,CSE
What are the critical safety considerations when dealing with Queues?,Data Structures,Queues,Medium,5,Analyze,Sample answer for Queues in Data Structures.,CSE
Describe the historical evolution of Stacks.,Data Structures,Stacks,Medium,10,Analyze,Sample answer for Stacks in Data Structures.,CSE
What are the critical safety considerations when dealing with Heaps?,Data Structures,Heaps,Easy,5,Remember,Sample answer for Heaps in Data Structures.,CSE
Discuss the advantages and disadvantages of Trees in Data Structures.,Data Structures,Trees,Medium,10,Apply,Sample answer for Trees in Data Structures.,CSE
What are the critical safety considerations when dealing with Linked Lists?,Data Structures,Linked Lists,Medium,5,Analyze,Sample answer for Linked Lists in Data Structures.,CSE
Differentiate between the various approaches to Stacks.,Data Structures,Stacks,Easy,3,Understand,Sample answer for Stacks in Data Structures.,CSE
Design a solution that effectively utilizes Heaps to solve a real-world problem.,Data Structures,Heaps,Easy,4,Understand,Sample answer for Heaps in Data Structures.,CSE
Differentiate between the various approaches to Trees.,Data Structures,Trees,Hard,10,Create,Sample answer for Trees in Data Structures.,CSE
Compare and contrast the implementation of Arrays in different scenarios.,Data Structures,Arrays,Easy,3,Remember,Sample answer for Arrays in Data Structures.,CSE
Analyze the impact of Linked Lists on modern Data Structures applications.,Data Structures,Linked Lists,Easy,4,Remember,Sample answer for Linked Lists in Data Structures.,CSE
What are the critical safety considerations when dealing with Hash Tables?,Data Structures,Hash Tables,Medium,6,Analyze,Sample answer for Hash Tables in Data Structures.,CSE
How does Graphs integrate with other components in Data Structures?,Data Structures,Graphs,Medium,10,Analyze,Sample answer for Graphs in Data Structures.,CSE
Design a solution that effectively utilizes Hash Tables to solve a real-world problem.,Data Structures,Hash Tables,Hard,12,Create,Sample answer for Hash Tables in Data Structures.,CSE
Derive the mathematical formulation for Trees.,Data Structures,Trees,Hard,20,Create,Sample answer for Trees in Data Structures.,CSE
How does Queues integrate with other components in Data Structures?,Data Structures,Queues,Easy,3,Understand,Sample answer for Queues in Data Structures.,CSE
Compare and contrast the implementation of Trees in different scenarios.,Data Structures,Trees,Easy,3,Remember,Sample answer for Trees in Data Structures.,CSE
Derive the mathematical formulation for Heaps.,Data Structures,Heaps,Easy,4,Understand,Sample answer for Heaps in Data Structures.,CSE
Discuss the advantages and disadvantages of Stacks in Data Structures.,Data Structures,Stacks,Easy,3,Remember,Sample answer for Stacks in Data Structures.,CSE
Analyze the impact of Stacks on modern Data Structures applications.,Data Structures,Stacks,Easy,4,Understand,Sample answer for Stacks in Data Structures.,CSE
Calculate the efficiency of a system designed using Graphs.,Data Structures,Graphs,Easy,5,Remember,Sample answer for Graphs in Data Structures.,CSE
Explain the fundamental principles of Arrays in the context of Data Structures.,Data Structures,Arrays,Easy,4,Remember,Sample answer for Arrays in Data Structures.,CSE
Explain the fundamental principles of Queues in the context of Data Structures.,Data Structures,Queues,Medium,10,Apply,Sample answer for Queues in Data Structures.,CSE
Design a solution that effectively utilizes Hash Tables to solve a real-world problem.,Data Structures,Hash Tables,Easy,3,Remember,Sample answer for Hash Tables in Data Structures.,CSE
Design a solution that effectively utilizes Trees to solve a real-world problem.,Data Structures,Trees,Medium,6,Analyze,Sample answer for Trees in Data Structures.,CSE
Derive the mathematical formulation for Graphs.,Data Structures,Graphs,Hard,15,Create,Sample answer for Graphs in Data Structures.,CSE
Explain the fundamental principles of Heaps in the context of Data Structures.,Data Structures,Heaps,Hard,20,Evaluate,Sample answer for Heaps in Data Structures.,CSE
